date,demand - base (MW)
1/1/2012 0:00,16627
1/1/2012 1:00,16084
1/1/2012 2:00,15866
1/1/2012 3:00,15725
1/1/2012 4:00,15470
1/1/2012 5:00,15502
1/1/2012 6:00,15750
1/1/2012 7:00,15887
1/1/2012 8:00,15923
1/1/2012 9:00,16381
1/1/2012 10:00,16672
1/1/2012 11:00,16720
1/1/2012 12:00,16839
1/1/2012 13:00,16772
1/1/2012 14:00,16868
1/1/2012 15:00,17314
1/1/2012 16:00,18081
1/1/2012 17:00,19339
1/1/2012 18:00,19249
1/1/2012 19:00,18960
1/1/2012 20:00,18663
1/1/2012 21:00,18074
1/1/2012 22:00,17218
1/1/2012 23:00,16356
1/2/2012 0:00,15809
1/2/2012 1:00,15465
1/2/2012 2:00,15255
1/2/2012 3:00,15236
1/2/2012 4:00,15275
1/2/2012 5:00,15726
1/2/2012 6:00,16874
1/2/2012 7:00,17897
1/2/2012 8:00,18232
1/2/2012 9:00,18739
1/2/2012 10:00,19030
1/2/2012 11:00,19126
1/2/2012 12:00,18984
1/2/2012 13:00,18873
1/2/2012 14:00,18753
1/2/2012 15:00,18883
1/2/2012 16:00,19396
1/2/2012 17:00,20331
1/2/2012 18:00,19890
1/2/2012 19:00,19937
1/2/2012 20:00,19633
1/2/2012 21:00,18816
1/2/2012 22:00,17792
1/2/2012 23:00,16921
1/3/2012 0:00,16277
1/3/2012 1:00,15835
1/3/2012 2:00,15606
1/3/2012 3:00,15554
1/3/2012 4:00,15656
1/3/2012 5:00,16088
1/3/2012 6:00,17140
1/3/2012 7:00,18148
1/3/2012 8:00,18464
1/3/2012 9:00,18933
1/3/2012 10:00,19013
1/3/2012 11:00,18830
1/3/2012 12:00,18804
1/3/2012 13:00,18848
1/3/2012 14:00,18860
1/3/2012 15:00,19119
1/3/2012 16:00,19471
1/3/2012 17:00,20380
1/3/2012 18:00,20108
1/3/2012 19:00,20005
1/3/2012 20:00,19754
1/3/2012 21:00,19002
1/3/2012 22:00,18102
1/3/2012 23:00,16963
1/4/2012 0:00,16223
1/4/2012 1:00,15787
1/4/2012 2:00,15467
1/4/2012 3:00,15185
1/4/2012 4:00,15412
1/4/2012 5:00,15902
1/4/2012 6:00,17158
1/4/2012 7:00,18198
1/4/2012 8:00,18537
1/4/2012 9:00,18760
1/4/2012 10:00,18699
1/4/2012 11:00,18639
1/4/2012 12:00,18537
1/4/2012 13:00,18546
1/4/2012 14:00,18299
1/4/2012 15:00,18613
1/4/2012 16:00,19028
1/4/2012 17:00,19935
1/4/2012 18:00,19930
1/4/2012 19:00,19980
1/4/2012 20:00,19856
1/4/2012 21:00,19678
1/4/2012 22:00,18889
1/4/2012 23:00,17940
1/5/2012 0:00,17475
1/5/2012 1:00,16808
1/5/2012 2:00,16679
1/5/2012 3:00,16620
1/5/2012 4:00,16706
1/5/2012 5:00,17173
1/5/2012 6:00,18123
1/5/2012 7:00,19177
1/5/2012 8:00,19660
1/5/2012 9:00,19836
1/5/2012 10:00,19789
1/5/2012 11:00,19773
1/5/2012 12:00,19585
1/5/2012 13:00,19503
1/5/2012 14:00,19430
1/5/2012 15:00,19647
1/5/2012 16:00,20022
1/5/2012 17:00,20906
1/5/2012 18:00,20706
1/5/2012 19:00,20429
1/5/2012 20:00,20276
1/5/2012 21:00,19754
1/5/2012 22:00,18914
1/5/2012 23:00,18064
1/6/2012 0:00,17293
1/6/2012 1:00,16937
1/6/2012 2:00,16505
1/6/2012 3:00,16599
1/6/2012 4:00,16647
1/6/2012 5:00,16764
1/6/2012 6:00,17155
1/6/2012 7:00,17841
1/6/2012 8:00,18703
1/6/2012 9:00,19116
1/6/2012 10:00,19225
1/6/2012 11:00,19340
1/6/2012 12:00,19153
1/6/2012 13:00,18895
1/6/2012 14:00,18781
1/6/2012 15:00,19077
1/6/2012 16:00,19741
1/6/2012 17:00,20768
1/6/2012 18:00,20217
1/6/2012 19:00,19782
1/6/2012 20:00,19725
1/6/2012 21:00,19538
1/6/2012 22:00,18723
1/6/2012 23:00,17819
1/7/2012 0:00,17015
1/7/2012 1:00,16531
1/7/2012 2:00,16240
1/7/2012 3:00,16103
1/7/2012 4:00,16031
1/7/2012 5:00,16095
1/7/2012 6:00,16439
1/7/2012 7:00,16797
1/7/2012 8:00,17181
1/7/2012 9:00,17757
1/7/2012 10:00,18095
1/7/2012 11:00,18351
1/7/2012 12:00,18486
1/7/2012 13:00,18714
1/7/2012 14:00,18784
1/7/2012 15:00,18833
1/7/2012 16:00,19370
1/7/2012 17:00,20429
1/7/2012 18:00,19967
1/7/2012 19:00,19363
1/7/2012 20:00,18821
1/7/2012 21:00,18019
1/7/2012 22:00,17172
1/7/2012 23:00,16221
1/8/2012 0:00,15521
1/8/2012 1:00,15129
1/8/2012 2:00,14916
1/8/2012 3:00,14880
1/8/2012 4:00,14919
1/8/2012 5:00,15426
1/8/2012 6:00,16606
1/8/2012 7:00,17913
1/8/2012 8:00,18029
1/8/2012 9:00,18047
1/8/2012 10:00,18239
1/8/2012 11:00,18177
1/8/2012 12:00,18185
1/8/2012 13:00,18242
1/8/2012 14:00,18245
1/8/2012 15:00,18103
1/8/2012 16:00,18502
1/8/2012 17:00,19355
1/8/2012 18:00,19080
1/8/2012 19:00,18840
1/8/2012 20:00,18477
1/8/2012 21:00,17814
1/8/2012 22:00,16740
1/8/2012 23:00,15681
1/9/2012 0:00,14900
1/9/2012 1:00,14375
1/9/2012 2:00,14203
1/9/2012 3:00,14134
1/9/2012 4:00,14246
1/9/2012 5:00,14863
1/9/2012 6:00,16195
1/9/2012 7:00,17635
1/9/2012 8:00,17553
1/9/2012 9:00,17577
1/9/2012 10:00,17574
1/9/2012 11:00,17652
1/9/2012 12:00,17417
1/9/2012 13:00,17600
1/9/2012 14:00,17726
1/9/2012 15:00,18005
1/9/2012 16:00,18566
1/9/2012 17:00,19548
1/9/2012 18:00,19229
1/9/2012 19:00,19117
1/9/2012 20:00,18712
1/9/2012 21:00,18074
1/9/2012 22:00,16986
1/9/2012 23:00,15863
1/10/2012 0:00,15104
1/10/2012 1:00,14699
1/10/2012 2:00,14497
1/10/2012 3:00,14508
1/10/2012 4:00,14674
1/10/2012 5:00,15273
1/10/2012 6:00,16444
1/10/2012 7:00,17776
1/10/2012 8:00,17862
1/10/2012 9:00,17599
1/10/2012 10:00,17349
1/10/2012 11:00,17183
1/10/2012 12:00,17097
1/10/2012 13:00,17157
1/10/2012 14:00,17490
1/10/2012 15:00,17736
1/10/2012 16:00,18085
1/10/2012 17:00,19154
1/10/2012 18:00,18712
1/10/2012 19:00,18470
1/10/2012 20:00,18085
1/10/2012 21:00,17325
1/10/2012 22:00,16291
1/10/2012 23:00,15168
1/11/2012 0:00,14338
1/11/2012 1:00,13821
1/11/2012 2:00,13386
1/11/2012 3:00,13218
1/11/2012 4:00,13289
1/11/2012 5:00,13771
1/11/2012 6:00,15146
1/11/2012 7:00,16540
1/11/2012 8:00,16828
1/11/2012 9:00,16789
1/11/2012 10:00,16797
1/11/2012 11:00,16549
1/11/2012 12:00,16459
1/11/2012 13:00,16492
