hydro_hourly_1 (MW),hydro_hourly_2 (MW),hydro_hourly_3 (MW),hydro_hourly_4 (MW),hydro_hourly_5 (MW),hydro_hourly_6 (MW),hydro_hourly_7 (MW),hydro_hourly_8 (MW),hydro_hourly_9 (MW),hydro_hourly_10 (MW)
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
28.884,23.406,95.616,428.529,0.498,1055.3616,106.572,705.915,13.5456,143.922
