date,hydro_monthly_1,hydro_monthly_2,hydro_monthly_3,hydro_monthly_4,hydro_monthly_5,hydro_monthly_6
month_1,1181448,348624,1150846.56,271152,968400,426096
month_2,1220244,360072,1188637.68,280056,1000200,440088
month_3,992592,292896,966882.24,227808,813600,357984
month_4,882792,260496,859926.24,202608,723600,318384
month_5,827892,244296,806448.24,190008,678600,298584
month_6,815155.2,240537.6,794041.344,187084.8,668160,293990.4
month_7,876277.2,258573.6,853580.184,201112.8,718260,316034.4
month_8,898896,265248,875613.12,206304,736800,324192
month_9,860832,254016,838535.04,197568,705600,310464
month_10,797148,235224,776500.56,182952,653400,287496
month_11,977073.6,288316.8,951765.792,224246.4,800880,352387.2
month_12,1081896,319248,1053873.12,248304,886800,390192
